0
apple
banana
blackgram
chickpea
coconut
coffee
cotton
jute
kidneybeans
lentil
maize
mango
mothbeans
mungbean
muskmelon
orange
papaya
pigeonpeas
pomegranate
rice
strawberry
watermelon
